seq,codeNameKo,codeGroupNameK,ccg_seq,shDelNy,codeAn,code,substituteCode,codeNameEn,useNy,turn,delNy,registrationDate,revisedDate
1,SKT,통신사,1,0,,NULL,,telecom,1,1,0,2022-11-14,2022-11-15
2,KT,통신사,1,0,NULL,NULL,NULL,telecom,1,2,0,2022-11-13,2022-11-14
3,LGT,통신사,1,0,NULL,NULL,NULL,telecom,1,3,0,2022-11-12,2022-11-13
4,남자,성별,2,0,NULL,NULL,NULL,gender,1,1,0,2022-11-11,2022-11-12
5,여자 ,성별,2,0,NULL,NULL,NULL,gender,1,2,0,2022-11-10,2022-11-11
6,기타,성별,2,0,NULL,NULL,NULL,gender,1,3,0,2022-11-09,2022-11-10
7,서울,지역,3,0,NULL,NULL,NULL,area,1,1,0,2022-11-08,2022-11-09
8,경기,지역,3,0,NULL,NULL,NULL,area,1,2,0,2022-11-07,2022-11-08
9,부산,지역,3,0,NULL,NULL,NULL,area,1,3,0,2022-11-06,2022-11-07
10,대구,지역,3,0,NULL,NULL,NULL,area,1,4,0,2022-11-05,2022-11-06
11,인천,지역,3,0,NULL,NULL,NULL,area,1,5,0,2022-11-04,2022-11-05
12,수원,지역,3,0,NULL,NULL,NULL,area,1,6,0,2022-11-03,2022-11-04
13,울산,지역,3,0,NULL,NULL,NULL,area,1,7,0,2022-11-02,2022-11-03
14,경주,지역,3,0,NULL,NULL,NULL,area,1,8,0,2202-11-01,2022-11-02
15,의정부,지역,3,0,NULL,NULL,NULL,area,1,9,0,2022-10-31,2022-11-01
16,양주,지역,3,0,NULL,NULL,NULL,area,1,10,0,2022-07-01,2022-07-02
17,강원,지역,3,0,NULL,NULL,NULL,area,1,11,0,2022-07-02,2022-07-03
18,대전,지역,3,0,NULL,NULL,NULL,area,1,12,0,2022-07-03,2022-07-04
19,청주,지역,3,0,NULL,NULL,NULL,area,1,13,0,2022-07-04,2022-07-05
20,천안,지역,3,0,NULL,NULL,NULL,area,1,14,0,2022-07-05,2022-07-06
21,휘발유,내연기관,4,0,NULL,NULL,NULL,carEagine,1,1,0,2022-07-06,2022-07-07
22,경유,내연기관,4,0,NULL,NULL,NULL,carEagine,1,2,0,2022-07-07,2022-07-08
23,전기,내연기관,4,0,NULL,NULL,NULL,carEagine,1,3,0,2022-07-08,2022-07-09
24,오토,변속기,5,0,NULL,NULL,NULL,gearBox,1,1,0,2022-07-09,2022-07-10
25,수동,변속기,5,0,NULL,NULL,NULL,gearBox,1,2,0,2022-07-10,2022-07-11
26,세단,차량종류,6,0,NULL,NULL,NULL,carKind,1,1,0,2022-07-11,2022-07-12
27,suv,차량종류,6,0,NULL,NULL,NULL,carKind,1,2,0,2022-07-12,2022-07-13
28,rv,차량종류,6,0,NULL,NULL,NULL,carKind,1,3,0,2022-07-13,2022-07-14
29,스포츠세단,차량종류,6,0,NULL,NULL,NULL,carKind,1,4,0,2022-07-14,2022-07-15
30,경차,차량종류,6,0,NULL,NULL,NULL,carKind,1,5,0,2022-07-15,2022-07-16
31,화물차,차량종류,6,0,NULL,NULL,NULL,carKind,1,6,0,2022-07-16,2022-07-17
32,검정색,색상,7,0,NULL,NULL,NULL,color,1,1,0,2022-07-17,2022-07-18
33,흰색,색상,7,0,NULL,NULL,NULL,color,1,2,0,2022-07-18,2022-07-19
34,파랑색,색상,7,0,NULL,NULL,NULL,color,1,3,0,2022-07-19,2022-07-20
35,빨간색,색상,7,0,NULL,NULL,NULL,color,1,4,0,2022-07-20,2022-07-21
36,갈색,색상,7,0,NULL,NULL,NULL,color,1,5,0,2022-07-21,2022-07-22
37,없음 ,세금,8,0,NULL,NULL,NULL,taxe,1,1,0,2022-07-22,2022-07-23
38,있음,세금,8,0,NULL,NULL,NULL,taxe,1,2,0,2022-07-23,2022-07-24
39,없음,압류,9,0,NULL,NULL,NULL,seize,1,1,0,2022-07-24,2022-07-25
40,있음,압류,9,0,NULL,NULL,NULL,seize,1,2,0,2022-07-25,2022-07-26
41,없음,저당,10,0,NULL,NULL,NULL,collateral,1,1,0,2022-07-26,2022-07-27
42,있음,저당,10,0,NULL,NULL,NULL,collateral,1,2,0,2022-07-27,2022-07-28
43,판매중,판매상태,11,0,NULL,NULL,NULL,stoppeout,1,1,0,2022-07-28,2022-07-29
45,예약중,판매상태,11,0,NULL,NULL,NULL,stoppeoup,1,2,0,2022-07-29,2022-07-30
46,제네시스g70,모델,12,0,NULL,NULL,NULL,model,1,1,0,2022-07-30,2022-07-31
47,제네시스g80,모델,12,0,NULL,NULL,NULL,model,1,2,0,2022-07-31,2022-08-01
48,쏘나타,모델,12,0,NULL,NULL,NULL,model,1,3,0,2022-08-01,2022-08-02
49,k5,모델,12,0,NULL,NULL,NULL,model,1,4,0,2022-08-02,2022-08-03
50,k7,모델,12,0,NULL,NULL,NULL,model,1,5,0,2022-08-03,2022-08-04
52,k9,모델,12,0,NULL,NULL,NULL,model,1,6,0,2022-08-04,2022-08-05
55,아반떼N,모델,12,0,NULL,NULL,NULL,model,1,7,0,2022-08-05,2022-08-06
57,제네시스gv80,모델,12,0,NULL,NULL,NULL,model,1,8,0,2022-08-06,2022-08-07
58,제네시스gv70,모델,12,0,NULL,NULL,NULL,model,1,9,0,2022-08-07,2022-08-08
59,싼타페,모델,12,0,NULL,NULL,NULL,model,1,10,0,2022-08-08,2022-08-09
60,쏘렌토,모델,12,0,NULL,NULL,NULL,model,1,11,0,2022-08-09,2022-08-10
61,스포티지,모델,12,0,NULL,NULL,NULL,model,1,12,0,2022-08-10,2022-08-11
62,모하비,모델,12,0,NULL,NULL,NULL,model,1,13,0,2022-08-11,2022-08-12
63,카니발,모델,12,0,NULL,NULL,NULL,model,1,14,0,2022-08-12,2022-08-13
64,현대,제조사,13,0,NULL,NULL,NULL,madeby,1,1,0,2022-08-13,2022-08-14
65,기아,제조사,13,0,NULL,NULL,NULL,madeby,1,2,0,2022-08-14,2022-08-15
66,르노,제조사,13,0,NULL,NULL,NULL,madeby,1,3,0,2022-08-15,2022-08-16
67,쌍용,제조사,13,0,NULL,NULL,NULL,madeby,1,4,0,2022-08-16,2022-08-17
68,개인,판매자,14,0,NULL,NULL,NULL,master,1,1,0,2022-08-17,2022-08-18
69,딜러,판매자,14,0,NULL,NULL,NULL,master,1,2,0,2022-08-18,2022-08-19
70,국산차,제조국,15,0,NULL,NULL,NULL,madeCountry,1,1,0,2022-08-19,2022-08-20
71,수입차,제조국,15,0,NULL,NULL,NULL,madeCountry,1,2,0,2022-08-20,2022-08-21
72,naver.com,이메일,16,0,NULL,NULL,NULL,eamil,1,1,0,2022-08-21,2022-08-22
73,daum.com,이메일,16,0,NULL,NULL,NULL,email,1,2,0,2022-08-22,2022-08-23
74,nate.com,이메일,16,0,NULL,NULL,NULL,email,1,3,0,2022-08-23,2022-08-24
75,QM6,모델,12,0,NULL,NULL,NULL,model,1,15,0,2022-08-24,2022-08-25
76,QM3,모델,12,0,NULL,NULL,NULL,model,1,16,0,2022-08-25,2022-08-26
77,xm3,모델,12,0,NULL,NULL,NULL,model,1,17,0,2022-08-26,2022-08-27
78,sm6,모델,12,0,NULL,NULL,NULL,model,1,18,0,2022-08-27,2022-08-28
79,sm5,모델,12,0,NULL,NULL,NULL,model,1,19,0,2022-08-28,2022-08-29
80,sm3,모델,12,0,NULL,NULL,NULL,model,1,20,0,2022-08-29,2022-08-30
81,렉스턴스포츠,모델,12,0,NULL,NULL,NULL,model,1,21,0,2022-08-30,2022-08-31
82,티볼리,모델,12,0,NULL,NULL,NULL,model,1,22,0,2022-08-31,2022-09-01
83,토레스,모델,12,0,NULL,NULL,NULL,model,1,23,0,2022-09-01,2022-09-02
84,렉스턴,모델,12,0,NULL,NULL,NULL,model,1,24,0,2022-09-02,2022-09-03
85,코란도,모델,12,0,NULL,NULL,NULL,model,1,25,0,2022-09-03,2022-09-04
86,티볼리에어,모델,12,0,NULL,NULL,NULL,model,1,26,0,2022-09-04,2022-09-05
87,BMW3,모델,12,0,NULL,NULL,NULL,model,1,27,0,2022-09-05,2022-09-06
88,BMW4,모델,12,0,NULL,NULL,NULL,model,1,28,0,2022-09-06,2022-09-07
89,BMW5,모델,12,0,NULL,NULL,NULL,model,1,29,0,2022-09-07,2022-09-08
90,BMWX4,모델,12,0,NULL,NULL,NULL,model,1,30,0,2022-09-08,2022-09-09
91,BMWX5,모델,12,0,NULL,NULL,NULL,model,1,31,0,2022-09-09,2022-09-10
92,BMWX6,모델,12,0,NULL,NULL,NULL,model,1,32,0,2022-09-10,2022-09-11
93,벤츠C-class,모델,12,0,NULL,NULL,NULL,model,1,33,0,2022-09-11,2022-09-12
94,벤츠E-class,모델,12,0,NULL,NULL,NULL,model,1,34,0,2022-09-12,2022-09-13
95,벤츠S-class,모델,12,0,NULL,NULL,NULL,model,1,35,0,2022-09-13,2022-09-14
96,벤츠GLB,모델,12,0,NULL,NULL,NULL,model,1,36,0,2022-09-14,2022-09-15
97,벤츠GLC,모델,12,0,NULL,NULL,NULL,model,1,37,0,2022-09-15,2022-09-16
98,벤츠GLE,모델,12,0,NULL,NULL,NULL,model,1,38,0,2022-09-16,2022-09-17
99,volvoS60,모델,12,0,NULL,NULL,NULL,model,1,39,0,2022-09-17,2022-09-18
100,volvoS90,모델,12,0,NULL,NULL,NULL,model,1,40,0,2022-09-18,2022-09-19
101,volvoS90Recharge,모델,12,0,NULL,NULL,NULL,model,1,41,0,2022-09-19,2022-09-20
102,volvoXC40,모델,12,0,NULL,NULL,NULL,model,1,42,0,2022-09-20,2022-09-21
103,volvoXC60,모델,12,0,NULL,NULL,NULL,model,1,43,0,2022-09-21,2022-09-22
104,volvoXC90,모델,12,0,NULL,NULL,NULL,model,1,44,0,2022-09-22,2022-09-23
105,BMW,제조사,13,0,NULL,NULL,NULL,madeby,1,5,0,2022-09-23,2022-09-24
106,벤츠,제조사,13,0,NULL,NULL,NULL,madeby,1,6,0,2022-09-24,2022-09-25
107,volvo,제조사,13,0,NULL,NULL,NULL,madeby,1,7,0,2022-09-25,2022-09-26
108,모닝,모델,12,0,NULL,NULL,NULL,model,1,45,0,2022-09-26,2022-09-27
109,레이,모델,12,0,NULL,NULL,NULL,model,1,46,0,2022-09-27,2022-09-28
110,투싼,모델,12,0,NULL,NULL,NULL,model,1,47,0,2022-09-28,2022-09-29
111,쉐보레 ,모델,13,0,NULL,NULL,NULL,madeby,1,8,0,2022-09-29,2022-09-30
112,임팔라,모델,12,0,NULL,NULL,NULL,model,1,48,0,2022-09-30,2022-10-01
113,제네시스DH,모델,12,0,NULL,NULL,NULL,model,1,49,0,2022-10-01,2022-10-02
114,포터 ,모델,12,0,NULL,NULL,NULL,model ,1,50,0,2022-10-02,2022-10-03
115,오피러스,모델,12,0,NULL,NULL,NULL,model,1,51,0,2022-10-03,2022-10-04
116,스타렉스,모델,12,0,NULL,NULL,NULL,model,1,52,0,2022-10-04,2022-10-05
117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
