seq,codeName,ccg_seq
1,SKT,1
2,KT,1
3,LGT,1
4,남자,2
5,여자,2
6,기타,2
7,서울,3
8,경기,3
9,부산,3
10,대구,3
11,인천,3
12,수원,3
13,울산,3
14,경주,3
15,의정부,3
16,양주,3
17,강원,3
18,대전,3
19,청주,3
20,천안,3
21,휘발유,4
22,경유,4
23,전기,4
24,오토,5
25,수동,5
26,세단,6
27,suv,6
28,rv,6
29,스포츠세단,6
30,경차,6
31,화물차,6
32,검정색,7
33,흰색,7
34,파랑색,7
35,빨간색,7
36,노랑색,7
37,없음,8
38,있음,8
39,없음,9
40,있음,9
41,없음,10
42,있음,10
43,판매중,11
44,판매완료,11
45,예약중,11
46,제네시스g70,12
47,제네시스g80,12
48,제네시스g90,12
49,k5,12
50,k7,12
51,k8,12
52,k9,12
53,아반떼,12
54,그랜저ig,12
55,아반떼N,12
56,스팅어,12
57,제네시스gv80,12
58,제네시스gv70,12
59,제네시스gv60,12
60,쏘렌토,12
61,스포티지,12
62,모하비,12
63,카니발,12
64,현대,13
65,기아,13
66,르노,13
67,쌍용,13
68,개인,14
69,딜러,14
